Fecha,Divisa,Precio de emisión,Valor liquidativo,Valor liquidativo anterior,Variación,Variación %,Acciones en circulación,Patrimonio de la clase de acción,Patrimonio del fondo,Entradas netas en el día
03/01/2025,EUR,"193,8500","193,8500","193,0000","0,8500","0,44",,,,
02/01/2025,EUR,"193,0000","193,0000","193,2300","-0,2300","-0,12","1.458.717,78","281.535.595,15","2.360.676.595,04","273.839,66"
30/12/2024,EUR,"193,2300","193,2300","194,5700","-1,3400","-0,69","1.457.300,61","281.600.191,16","2.361.238.186,22","575.202,31"
27/12/2024,EUR,"194,5700","194,5700","192,6500","1,9200","1,00","1.454.344,34","282.966.467,61","2.374.562.647,34","66.347,80"
23/12/2024,EUR,"192,6500","192,6500","191,0700","1,5800","0,83","1.452.728,32","277.568.843,60","2.321.498.947,84","0,00"
20/12/2024,EUR,"191,0700","191,0700","193,0000","-1,9300","-1,00","1.452.728,32","277.568.843,60","2.321.498.947,84","-29.249,31"
19/12/2024,EUR,"193,0000","193,0000","195,8100","-2,8100","-1,44","1.452.879,87","280.402.633,70","2.340.685.528,68","365.299,64"
18/12/2024,EUR,"195,8100","195,8100","196,3800","-0,5700","-0,29","1.451.014,28","284.122.019,96","2.370.266.385,61","325.920,69"
17/12/2024,EUR,"196,3800","196,3800","196,3900","-0,0100","-0,01","1.449.354,64","284.624.569,41","2.360.978.451,25","415.119,32"
16/12/2024,EUR,"196,3900","196,3900","197,3700","-0,9800","-0,50","1.447.240,89","284.226.940,63","2.354.378.177,94","186.518,92"
13/12/2024,EUR,"197,3700","197,3700","198,3900","-1,0200","-0,51","1.445.312,12","286.731.850,97","2.387.837.761,14","0,00"
12/12/2024,EUR,"198,3900","198,3900","197,5900","0,8000","0,40","1.445.312,12","286.731.850,97","2.387.837.761,14","59.344,76"
11/12/2024,EUR,"197,5900","197,5900","197,7200","-0,1300","-0,07","1.445.011,78","285.524.465,39","2.376.926.966,45","167.853,99"
10/12/2024,EUR,"197,7200","197,7200","198,0300","-0,3100","-0,16","1.444.162,83","285.533.919,32","2.375.360.397,03","137.687,20"
09/12/2024,EUR,"198,0300","198,0300","197,4600","0,5700","0,29","1.443.303,30","284.997.437,37","2.368.399.087,72","0,00"
06/12/2024,EUR,"197,4600","197,4600","198,4900","-1,0300","-0,52","1.443.303,30","284.997.437,37","2.368.399.087,72","274.386,13"
05/12/2024,EUR,"198,4900","198,4900","197,6800","0,8100","0,41","1.441.920,93","286.202.606,35","2.382.966.410,24","1.774.590,99"
04/12/2024,EUR,"197,6800","197,6800","197,6900","-0,0100","-0,01","1.432.943,85","283.267.990,37","2.367.612.193,61","524.237,26"
03/12/2024,EUR,"197,6900","197,6900","196,3200","1,3700","0,70","1.430.292,03","282.750.047,33","2.363.451.068,38","30.354,20"
02/12/2024,EUR,"196,3200","196,3200","194,8400","1,4800","0,76","1.430.137,41","280.764.752,19","2.340.791.554,06","-118.649,76"
29/11/2024,EUR,"194,8400","194,8400","195,3400","-0,5000","-0,26","1.430.746,37","278.762.949,21","2.318.976.577,47","331.352,74"
27/11/2024,EUR,"195,3400","195,3400","195,0900","0,2500","0,13","1.429.050,09","279.150.382,67","2.316.110.434,45","38.125,37"
26/11/2024,EUR,"195,0900","195,0900","195,2100","-0,1200","-0,06","1.428.854,66","278.761.086,98","2.311.397.051,98","147.348,47"
25/11/2024,EUR,"195,2100","195,2100","195,1900","0,0200","0,01","1.428.099,84","278.784.477,28","2.310.729.309,13","166.060,01"
22/11/2024,EUR,"195,1900","195,1900","192,6100","2,5800","1,34","1.427.249,08","278.584.999,54","2.307.447.406,92","268.328,55"
21/11/2024,EUR,"192,6100","192,6100","192,2700","0,3400","0,18","1.425.855,96","274.627.943,60","2.274.399.876,41","118.045,36"
20/11/2024,EUR,"192,2700","192,2700","191,3000","0,9700","0,51","1.425.242,01","274.027.370,73","2.267.629.487,90","90.901,69"
19/11/2024,EUR,"191,3000","191,3000","190,9100","0,3900","0,20","1.424.766,83","272.550.978,43","2.254.943.769,57","683.447,89"
18/11/2024,EUR,"190,9100","190,9100","192,8600","-1,9500","-1,01","1.421.186,88","271.322.419,85","2.248.925.716,81","-2.251.734,21"
15/11/2024,EUR,"192,8600","192,8600","194,0600","-1,2000","-0,62","1.432.862,37","276.342.846,81","2.271.467.165,19","-92.441,41"
14/11/2024,EUR,"194,0600","194,0600","193,3900","0,6700","0,35","1.433.338,72","278.148.156,30","2.281.932.456,28","86.991,68"
13/11/2024,EUR,"193,3900","193,3900","194,8700","-1,4800","-0,76","1.432.888,89","277.111.610,05","2.272.281.519,23","-46.136,64"
12/11/2024,EUR,"194,8700","194,8700","192,7400","2,1300","1,11","1.433.125,65","279.273.232,50","2.282.510.131,38","241.422,40"
08/11/2024,EUR,"192,7400","192,7400","192,0400","0,7000","0,36","1.431.873,07","275.984.839,75","2.254.371.145,42","-255.907,23"
07/11/2024,EUR,"192,0400","192,0400","191,2100","0,8300","0,43","1.433.205,64","275.225.659,89","2.240.226.515,43","-28.853,06"
06/11/2024,EUR,"191,2100","191,2100","186,9200","4,2900","2,30","1.433.356,54","274.076.366,54","2.230.633.580,39","186.746,72"
05/11/2024,EUR,"186,9200","186,9200","186,8800","0,0400","0,02","1.432.357,47","267.734.262,17","2.181.361.887,14","157.065,96"
04/11/2024,EUR,"186,8800","186,8800","187,6700","-0,7900","-0,42","1.431.517,00","267.522.903,07","2.177.968.663,86","-225.453,56"
31/10/2024,EUR,"187,6700","187,6700","189,6900","-2,0200","-1,06","1.432.718,33","268.871.383,28","2.183.557.364,26","-36.184,42"
30/10/2024,EUR,"189,6900","189,6900","190,6100","-0,9200","-0,48","1.432.909,09","271.806.254,67","2.195.193.934,90","102.252,96"
29/10/2024,EUR,"190,6100","190,6100","190,2600","0,3500","0,18","1.432.372,64","273.022.433,50","2.202.869.564,92","-128.479,59"
28/10/2024,EUR,"190,2600","190,2600","189,9000","0,3600","0,19","1.433.047,92","272.646.228,68","2.196.684.050,96","-64.673,85"
25/10/2024,EUR,"189,9000","189,9000","190,3500","-0,4500","-0,24","1.433.388,49","272.200.841,41","2.191.608.138,44","209.737,53"
24/10/2024,EUR,"190,3500","190,3500","190,9900","-0,6400","-0,34","1.432.286,64","272.630.972,33","2.191.938.400,63","-264.806,66"
23/10/2024,EUR,"190,9900","190,9900","190,8900","0,1000","0,05","1.433.673,13","273.822.379,43","2.197.093.108,60","156.281,15"
22/10/2024,EUR,"190,8900","190,8900","192,2400","-1,3500","-0,70","1.432.854,43","273.512.713,96","2.194.715.850,02","-476.397,20"
21/10/2024,EUR,"192,2400","192,2400","191,9900","0,2500","0,13","1.435.332,57","275.926.295,29","2.210.000.187,99","-579.877,12"
18/10/2024,EUR,"191,9900","191,9900","192,4000","-0,4100","-0,21","1.438.352,92","276.143.200,05","2.205.127.972,20","28.973,25"
17/10/2024,EUR,"192,4000","192,4000","190,7700","1,6300","0,85","1.438.202,34","276.706.994,73","2.208.129.671,67","-458.265,46"
16/10/2024,EUR,"190,7700","190,7700","192,4200","-1,6500","-0,86","1.440.604,52","274.822.856,91","2.187.315.932,58","-285.321,09"
15/10/2024,EUR,"192,4200","192,4200","189,8000","2,6200","1,38","1.442.087,33","277.485.007,29","2.202.327.171,47","-46.731,96"
11/10/2024,EUR,"189,8000","189,8000","190,0600","-0,2600","-0,14","1.442.333,54","273.756.555,73","2.171.350.006,53","-50.564,01"
10/10/2024,EUR,"190,0600","190,0600","189,3200","0,7400","0,39","1.442.599,59","274.182.218,43","2.206.669.290,54","-603.191,45"
09/10/2024,EUR,"189,3200","189,3200","188,3500","0,9700","0,51","1.445.785,68","273.711.881,78","2.195.066.824,34","-806.554,41"
08/10/2024,EUR,"188,3500","188,3500","189,9000","-1,5500","-0,82","1.450.067,89","273.117.046,49","2.183.236.201,05","-187.237,84"
07/10/2024,EUR,"189,9000","189,9000","188,7800","1,1200","0,59","1.451.053,87","275.558.605,49","2.200.087.683,75","-43.424,51"
04/10/2024,EUR,"188,7800","188,7800","189,3100","-0,5300","-0,28","1.451.283,90","273.974.887,57","2.184.036.936,50","141.629,70"
02/10/2024,EUR,"189,3100","189,3100","190,2300","-0,9200","-0,48","1.455.154,99","275.163.329,27","2.158.091.031,62","0,00"
01/10/2024,EUR,"190,2300","190,2300","189,1000","1,1300","0,60","1.455.154,99","275.163.329,27","2.158.080.076,19","0,00"
30/09/2024,EUR,"189,1000","189,1000","190,4600","-1,3600","-0,71","1.454.617,95","277.051.943,22","2.170.751.777,61","0,00"
27/09/2024,EUR,"190,4600","190,4600","190,0300","0,4300","0,23","1.454.617,95","277.051.943,22","2.170.751.777,61","181.713,58"
26/09/2024,EUR,"190,0300","190,0300","188,4700","1,5600","0,83","1.453.661,71","276.233.098,83","2.164.562.377,99","-90.593,88"
