referencia,fecha,valor_catastro,valor_mercado,nota
3566606VK4736F0062HM,29/05/2017,149966.64 ,464000.00 ,tasacion_compra_venta
3566606VK4736F0027HM,29/05/2017,10685.60 ,25000.00 ,tasacion_compra_venta
3566606VK4736F0028JQ,29/05/2017,10685.60 ,25000.00 ,tasacion_compra_venta
3566606VK4736F0062HM,01/01/2025,346129.01 ,539675.00 ,Bankinter
3566606VK4736F0027HM,01/01/2025,18431.67 ,20000.00 ,Idealista (anuncios)
3566606VK4736F0028JQ,01/01/2025,18431.67 ,20000.00 ,Idealista (anuncios)
3566606VK4736F0062HM,01/01/2024,335183.64 ,,
3566606VK4736F0062HM,01/01/2023,302586.80 ,,
3566606VK4736F0062HM,01/01/2022,297624.15 ,,
3566606VK4736F0027HM,01/01/2022,20934.13 ,,
3566606VK4736F0028JQ,01/01/2022,20934.13 ,,
