Date,Price
01/01/2017,4547
01/02/2017,4589
01/03/2017,4561
01/04/2017,4559
01/05/2017,4616
01/06/2017,4713
01/07/2017,4822
01/08/2017,4872
01/09/2017,4883
01/10/2017,4915
01/11/2017,4974
01/12/2017,5098
01/01/2018,5163
01/02/2018,5236
01/03/2018,5309
01/04/2018,5348
01/05/2018,5388
01/06/2018,5459
01/07/2018,5570
01/08/2018,5620
01/09/2018,5589
01/10/2018,5654
01/11/2018,5704
01/12/2018,5684
01/01/2019,5697
01/02/2019,5749
01/03/2019,5742
01/04/2019,5800
01/05/2019,5805
01/06/2019,5817
01/07/2019,5781
01/08/2019,5770
01/09/2019,5760
01/10/2019,5776
01/11/2019,5756
01/12/2019,5757
01/01/2020,5775
01/02/2020,5750
01/03/2020,5779
01/04/2020,5787
01/05/2020,5816
01/06/2020,5816
01/07/2020,5763
01/08/2020,5694
01/09/2020,5690
01/10/2020,5722
01/11/2020,5671
01/12/2020,5634
01/01/2021,5637
01/02/2021,5687
01/03/2021,5743
01/04/2021,5744
01/05/2021,5781
01/06/2021,5855
01/07/2021,5937
01/08/2021,5924
01/09/2021,5952
01/10/2021,5936
01/11/2021,5915
01/12/2021,5941
01/01/2022,5990
01/02/2022,6052
01/03/2022,6153
01/04/2022,6268
01/05/2022,6354
01/06/2022,6413
01/07/2022,6434
01/08/2022,6449
01/09/2022,6469
01/10/2022,6470
01/11/2022,6457
01/12/2022,6422
01/01/2023,6408
01/02/2023,6426
01/03/2023,6487
01/04/2023,6489
01/05/2023,6532
01/06/2023,6627
01/07/2023,6654
01/08/2023,6729
01/09/2023,6738
01/10/2023,6824
01/11/2023,6924
01/12/2023,7044
01/01/2024,7186
01/02/2024,7253
01/03/2024,7374
01/04/2024,7618
01/05/2024,7671
01/06/2024,7846
01/07/2024,7990
01/08/2024,8057
01/09/2024,8292
01/10/2024,8458
01/11/2024,8642
01/12/2024,8818
01/01/2025,8969
